Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.4085309439781232718434791412,0.408530943978123,0.408530943978123,0.408530943978123,0.408530943978123,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,302852.2
0.02,0,0.3392358774581877515696737360,0.339235877458188,0.339235877458188,0.339235877458188,0.339235877458188,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,605704.3
0.03,0,0.3301218782285773864941637049,0.330121878228577,0.330121878228577,0.330121878228577,0.330121878228577,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,908556.5
0.04,0,0.3221905383741302444681994611,0.32219053837413,0.32219053837413,0.32219053837413,0.32219053837413,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,1211409
0.05,0,0.3152023034462093816089829645,0.315202303446209,0.315202303446209,0.315202303446209,0.315202303446209,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,1514261
0.06,0,0.3091118195515646243118763005,0.309111819551565,0.309111819551565,0.309111819551565,0.309111819551565,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,1817113
0.07,0,0.3037902418031770889126989996,0.303790241803177,0.303790241803177,0.303790241803177,0.303790241803177,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,2119965
0.08,0,0.2991065372095632654191767964,0.299106537209563,0.299106537209563,0.299106537209563,0.299106537209563,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,2422817
0.09,0,0.2949496209447476050954535532,0.294949620944748,0.294949620944748,0.294949620944748,0.294949620944748,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,2725670
0.10,0,0.2912301534377935276450524160,0.291230153437794,0.291230153437794,0.291230153437794,0.291230153437794,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,3028522
0.11,0,0.2878769797167157213516454628,0.287876979716716,0.287876979716716,0.287876979716716,0.287876979716716,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,3331374
0.12,0,0.2848335063489853129852305629,0.284833506348985,0.284833506348985,0.284833506348985,0.284833506348985,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,3634226
0.13,0,0.2820542805109053781779758338,0.282054280510905,0.282054280510905,0.282054280510905,0.282054280510905,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,3937078
0.14,0,0.2795025524619557657550113505,0.279502552461956,0.279502552461956,0.279502552461956,0.279502552461956,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,4239930
0.15,0,0.2771482747763849985033927139,0.277148274776385,0.277148274776385,0.277148274776385,0.277148274776385,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,4542782
0.16,0,0.2749666317413484424308958230,0.274966631741348,0.274966631741348,0.274966631741348,0.274966631741348,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,4845634
0.17,0,0.2729369831820196408747891698,0.27293698318202,0.27293698318202,0.27293698318202,0.27293698318202,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,5148487
0.18,0,0.2705417858225482491674044981,0.270541785822548,0.270541785822548,0.270541785822548,0.270541785822548,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,5451339
0.19,0,0.2731766137518577253183607578,0.273176613751858,0.273176613751858,0.273176613751858,0.273176613751858,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,5754191
0.20,0,0.2754593714310986803240123906,0.275459371431099,0.275459371431099,0.275459371431099,0.275459371431099,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,6057044
0.21,0,0.2774456633262980415469492840,0.277445663326298,0.277445663326298,0.277445663326298,0.277445663326298,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,6359896
0.22,0,0.2791804797207811203791420526,0.279180479720781,0.279180479720781,0.279180479720781,0.279180479720781,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,6662748
0.23,0,0.2807004998800947377242550243,0.280700499880095,0.280700499880095,0.280700499880095,0.280700499880095,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,6965600
0.24,0,0.2820359387702697406922402394,0.28203593877027,0.28203593877027,0.28203593877027,0.28203593877027,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,7268452
0.25,0,0.2832119004020838633187703039,0.283211900402084,0.283211900402084,0.283211900402084,0.283211900402084,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,7571304
0.26,0,0.2843939148903658943199788144,0.284393914890366,0.284393914890366,0.284393914890366,0.284393914890366,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,7874156
0.27,0,0.2854608434819931462573227338,0.285460843481993,0.285460843481993,0.285460843481993,0.285460843481993,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,8177009
0.28,0,0.2864268495839370856179596089,0.286426849583937,0.286426849583937,0.286426849583937,0.286426849583937,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,8479861
0.29,0,0.2873040315491933938380604099,0.287304031549193,0.287304031549193,0.287304031549193,0.287304031549193,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,8782713
0.30,0,0.2881026750667532535009703107,0.288102675066753,0.288102675066753,0.288102675066753,0.288102675066753,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,9085565
0.31,0,0.2888316904133802520388183230,0.28883169041338,0.28883169041338,0.28883169041338,0.28883169041338,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,9388417
0.32,0,0.2894987753872240992865520255,0.289498775387224,0.289498775387224,0.289498775387224,0.289498775387224,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,9691269
0.33,0,0.2901106142072872077531577021,0.290110614207287,0.290110614207287,0.290110614207287,0.290110614207287,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,9994122
0.34,0,0.2906729872096001332217493573,0.2906729872096,0.2906729872096,0.2906729872096,0.2906729872096,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,10296970
0.35,0,0.2911910142955720385500018194,0.291191014295572,0.291191014295572,0.291191014295572,0.291191014295572,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,10599830
0.36,0,0.2916691442982572702204358705,0.291669144298257,0.291669144298257,0.291669144298257,0.291669144298257,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,10902680
0.37,0,0.2921113150984451564277073622,0.292111315098445,0.292111315098445,0.292111315098445,0.292111315098445,0,0,0,0,11.29092992820698,45.939688793767778264301167422,45.939688793767778264301167422,11205530
